powermode,observed_time,observed_power
12_2201600_114750000_665600000,1472.3963890686034,16.953
12_422400_420750000_3199000000,528.0394298248291,22.1775
6_1190400_522750000_665600000,669.1750912322998,19.373
6_1651200_114750000_3199000000,1452.5003243103026,17.07
12_1651200_1032750000_3199000000,210.12146978759768,38.154
8_729600_726750000_665600000,652.6385089111328,19.8775
10_1190400_624750000_204000000,1919.2307360839843,15.148
6_729600_624750000_2133000000,366.0173380813599,24.986
6_1344000_420750000_3199000000,425.4557763519287,24.091
6_422400_318750000_3199000000,616.7717342224121,21.0355
2_422400_216750000_2133000000,2710.6512473754883,14.149
4_268800_624750000_665600000,1573.8769198303225,15.202
6_1651200_420750000_2133000000,433.74084144592285,23.381
12_422400_420750000_204000000,1964.36208795166,14.75
10_1497600_624750000_3199000000,299.24785987091064,29.1915
6_1036800_216750000_204000000,2020.8741245117187,14.349
12_1190400_420750000_665600000,694.1427074127197,18.771
4_422400_930750000_665600000,954.6395374450684,18.2085
10_1958400_930750000_2133000000,268.651940284729,33.202
6_1036800_522750000_665600000,670.8791533660889,19.276
6_1344000_1300500000_2133000000,244.080908203125,37.811
8_1497600_624750000_3199000000,299.98353636932376,26.6815
6_1497600_624750000_3199000000,299.44346380615235,28.59
10_576000_216750000_204000000,2027.39446673584,14.347
