powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim
,,,,10.0,,,,,,
,,,,11.0,,,,,,
,,,,12.0,,,,,,
,,,,13.0,,,,,,
,,,,14.0,,,,,,
,,,,15.0,,,,,,
,,,,16.0,,,,,,
,,,,17.0,,,,,,
,,,,18.0,,4_1344000_318750000_665600000,105.0013303756714,4.0,17.7725,0.0
,,,,19.0,,8_1651200_318750000_665600000,32.263755798339844,1.0,18.266,0.0
,,,,20.0,,8_2201600_318750000_665600000,30.90345859527588,1.0,19.475,0.0
8_1344000_726750000_665600000,347.06127643585205,16.0,20.575,21.0,0.0,12_422400_726750000_3199000000,232.68377780914307,16.0,20.973,2.0
8_1344000_318750000_2133000000,288.0997657775879,16.0,21.08,22.0,1.0,12_422400_726750000_3199000000,232.68377780914307,16.0,20.973,2.0
8_422400_726750000_2133000000,251.5263557434082,16.0,22.567,23.0,2.0,4_729600_726750000_3199000000,213.79685401916504,16.0,22.7675,2.0
8_422400_726750000_2133000000,251.5263557434082,16.0,22.567,24.0,2.0,4_729600_726750000_3199000000,213.79685401916504,16.0,22.7675,2.0
8_1344000_522750000_2133000000,205.80267906188965,16.0,24.59,25.0,2.0,4_729600_930750000_3199000000,203.67884635925293,16.0,24.07,2.0
8_1344000_522750000_2133000000,205.80267906188965,16.0,24.59,26.0,2.0,12_1958400_522750000_2133000000,189.7791624069214,16.0,25.894,3.0
8_1344000_522750000_3199000000,196.6325044631958,16.0,26.384,27.0,2.0,4_1036800_930750000_3199000000,163.8721227645874,16.0,26.181,3.0
12_1958400_522750000_3199000000,179.7415018081665,16.0,27.682,28.0,3.0,4_1036800_930750000_3199000000,163.8721227645874,16.0,26.181,3.0
12_1344000_726750000_2133000000,176.316499710083,16.0,28.1,29.0,3.0,12_729600_726750000_3199000000,181.7082166671753,16.0,28.383,4.0
8_1344000_726750000_3199000000,161.6504192352295,16.0,29.436,30.0,4.0,4_1344000_930750000_2133000000,161.51881217956543,16.0,29.491,4.0
8_1344000_726750000_3199000000,161.6504192352295,16.0,29.436,31.0,4.0,4_1651200_930750000_2133000000,152.91643142700195,16.0,30.7,4.0
8_1344000_726750000_3199000000,161.6504192352295,16.0,29.436,32.0,4.0,4_1958400_726750000_2133000000,145.65467834472656,16.0,31.714,4.0
8_1344000_726750000_3199000000,161.6504192352295,16.0,29.436,33.0,4.0,12_1958400_726750000_3199000000,142.7102088928223,16.0,32.896,4.0
8_1344000_726750000_3199000000,161.6504192352295,16.0,29.436,34.0,4.0,4_1651200_930750000_3199000000,138.3817195892334,16.0,33.703,5.0
8_1344000_726750000_3199000000,161.6504192352295,16.0,29.436,35.0,4.0,4_1651200_930750000_3199000000,138.3817195892334,16.0,33.703,5.0
8_1344000_726750000_3199000000,161.6504192352295,16.0,29.436,36.0,4.0,4_1958400_930750000_3199000000,131.6317319869995,16.0,35.602,5.0
8_1651200_930750000_3199000000,130.7504177093506,16.0,36.101,37.0,5.0,8_1344000_1300500000_3199000000,123.57985973358154,16.0,36.3445,6.0
8_1958400_930750000_3199000000,127.0071268081665,16.0,37.809,38.0,5.0,8_1344000_1300500000_3199000000,123.57985973358154,16.0,36.3445,6.0
8_1958400_930750000_3199000000,127.0071268081665,16.0,37.809,39.0,5.0,8_1344000_1300500000_3199000000,123.57985973358154,16.0,36.3445,6.0
8_2201600_930750000_3199000000,123.6196756362915,16.0,39.21,40.0,5.0,8_1344000_1300500000_3199000000,123.57985973358154,16.0,36.3445,6.0
8_2201600_930750000_3199000000,123.6196756362915,16.0,39.21,41.0,5.0,12_1651200_1134750000_3199000000,119.41766738891602,16.0,40.504,6.0
8_1344000_1300500000_3199000000,123.57985973358154,16.0,36.3445,42.0,6.0,12_1651200_1134750000_3199000000,119.41766738891602,16.0,40.504,6.0
8_1344000_1300500000_3199000000,123.57985973358154,16.0,36.3445,43.0,6.0,12_1651200_1134750000_3199000000,119.41766738891602,16.0,40.504,6.0
8_1344000_1300500000_3199000000,123.57985973358154,16.0,36.3445,44.0,6.0,8_1958400_1134750000_3199000000,116.22238159179688,16.0,43.623,6.0
8_1344000_1300500000_3199000000,123.57985973358154,16.0,36.3445,45.0,6.0,8_1958400_1134750000_3199000000,116.22238159179688,16.0,43.623,6.0
8_1344000_1300500000_3199000000,123.57985973358154,16.0,36.3445,46.0,6.0,12_2201600_1134750000_3199000000,112.33317852020264,16.0,45.709,6.0
8_1651200_1300500000_3199000000,116.1019802093506,16.0,46.474,47.0,7.0,12_1651200_1300500000_3199000000,114.90070819854736,16.0,46.5765,7.0
8_1651200_1300500000_3199000000,116.1019802093506,16.0,46.474,48.0,7.0,12_1651200_1300500000_3199000000,114.90070819854736,16.0,46.5765,7.0
8_1651200_1300500000_3199000000,116.1019802093506,16.0,46.474,49.0,7.0,12_1958400_1300500000_3199000000,110.01300811767578,16.0,48.7785,7.0
8_1958400_1300500000_3199000000,110.77880859375,16.0,49.687,50.0,7.0,12_1958400_1300500000_3199000000,110.01300811767578,16.0,48.7785,7.0
